"104","Fortaleza","Brazil","4163953","4119633","0.0108"
"105","Jaipur","India","4106756","4007505","0.0248"
"106","Nanning","China","4085697","3974322","0.0280"
"107","Medellin","Colombia","4067758","4033783","0.0084"
"108","Taiyuan Shanxi","China","4061003","3975985","0.0214"
"109","Ekurhuleni","South Africa","4044660","3969937","0.0188"
"110","Douala","Cameroon","3926645","3793363","0.0351"
"111","Kozhikode","India","3920873","3742198","0.0477"
"112","Salvador","Brazil","3920132","3880314","0.0103"
"113","Los Angeles","United States","3919973","3909360","0.00271"
"114","Changzhou","China","3869213","3749712","0.0319"
"115","Xiamen","China","3862882","3790792","0.0190"
"116","Lucknow","India","3854224","3764619","0.0238"
"117","Fuzhou Fujian","China","3843753","3764559","0.0210"
"118","Casablanca","Morocco","3840396","3793585","0.0123"
"119","Wenzhou","China","3824561","3725342","0.0266"
"120","Nanchang","China","3817888","3709958","0.0291"
"121","Malappuram","India","3816345","3608928","0.0575"
"122","Curitiba","Brazil","3770919","3726050","0.0120"
"123","Ibadan","Nigeria","3756445","3649023","0.0294"
"124","Antananarivo","Madagascar","3699900","3531887","0.0476"
"125","Tangshan Hebei","China","3693292","3562719","0.0366"
"126","Abuja","Nigeria","3652029","3464123","0.0542"
"127","Kampala","Uganda","3651919","3469510","0.0526"
"128","Kumasi","Ghana","3630326","3490030","0.0402"
"129","Faisalabad","Pakistan","3624804","3542020","0.0234"
"130","Bekasi","Indonesia","3622203","3510050","0.0320"
"131","Berlin","Germany","3570750","3566791","0.0011"
"132","Guiyang","China","3495855","3407463","0.0259"
"133","Busan","South Korea","3468139","3465946","0.0006"
"134","Santo Domingo","Dominican Republic","3457626","3388809","0.0203"
"135","Asuncion","Paraguay","3452315","3394309","0.0171"
"136","Campinas","Brazil","3384564","3343816","0.0122"
"137","Wuxi","China","3375810","3315113","0.0183"
"138","Thrissur","India","3351322","3212604","0.0432"
"139","Dakar","Senegal","3326001","3229800","0.0298"
"140","Port Harcourt","Nigeria","3324694","3171076","0.0484"
"141","Mashhad","Iran","3317640","3264101","0.0164"
"142","Kochi","India","3301294","3193029","0.0339"
"143","Puebla","Mexico","3294779","3244710","0.0154"
"144","Kuwait City","Kuwait","3238523","3177315","0.0193"
"145","Lanzhou","China","3226493","3153808","0.0230"
"146","Indore","India","3208722","3113445","0.0306"
"147","Durban","South Africa","3199329","3176254","0.0073"
"148","Kanpur","India","3189926","3153425","0.0116"
"149","Sanaa","Yemen","3181655","3075257","0.0346"
"150","Athens","Greece","3153781","3153255","0.0002"
"151","Milan","Italy","3149223","3144473","0.0015"
"152","Pyongyang","North Korea","3132527","3108108","0.0079"
"153","Guayaquil","Ecuador","3092355","3042941","0.0162"
"154","Izmir","Turkey","3056149","3024020","0.0106"
"155","Ouagadougou","Burkina Faso","3055788","2914619","0.0484"
"156","Lusaka","Zambia","3041789","2905993","0.0467"
"157","Guatemala City","Guatemala","3036405","2983174","0.0178"
"158","Kiev","Ukraine","3010209","3000604","0.0032"
"159","Surabaya","Indonesia","3005385","2972091","0.0112"
"160","Nagpur","India","2991427","2940487","0.0173"
"161","Lisbon","Portugal","2986162","2971587","0.0049"
"162","Zhongshan","China","2973878","2941522","0.0110"
"163","Dubai","United Arab Emirates","2964382","2921376","0.0147"
"164","Caracas","Venezuela","2956813","2945858","0.0037"
"165","Depok","Indonesia","2942149","2836941","0.0371"
"166","Shizuoka","Japan","2935436","2930341","0.0017"
"167","Coimbatore","India","2934621","2860445","0.0259"
"168","Handan","China","2917786","2824345","0.0331"
"169","Port-au-Prince","Haiti","2915276","2843925","0.0251"
"170","Huaian","China","2879079","2770106","0.0393"
"171","Algiers","Algeria","2853959","2809158","0.0159"
"172","Cali","Colombia","2836747","2809508","0.0097"
"173","Weifang","China","2834645","2746160","0.0322"
"174","Incheon","South Korea","2834132","2818288","0.0056"
"175","Bamako","Mali","2816943","2713230","0.0382"
"176","Goiania","Brazil","2800919","2747887","0.0193"
"177","Thiruvananthapuram","India","2793173","2690703","0.0381"
"178","Manchester","United Kingdom","2770434","2750120","0.0074"
"179","Mbuji-Mayi","DR Congo","2765002","2642794","0.0462"
"180","Chicago","United States","2756546","2751467","0.00185"
"181","Taipei","Taiwan","2742379","2731208","0.0041"
"182","Pretoria","South Africa","2739768","2655282","0.0318"
"183","Zibo","China","2732104","2685108","0.0175"
"184","Shaoxing","China","2722257","2633145","0.0338"
"185","Lubumbashi","DR Congo","2695331","2584133","0.0430"
"186","Yantai","China","2689227","2609465","0.0306"
"187","Huizhou","China","2684343","2605871","0.0301"
"188","Sapporo","Japan","2668982","2670121","-0.0004"
"189","Birmingham","United Kingdom","2645598","2626374","0.0073"
"190","Bandung","Indonesia","2638090","2606850","0.0120"
"191","Vancouver","Canada","2631690","2606351","0.0097"
"192","Accra","Ghana","2605402","2556972","0.0189"
"193","Toluca de Lerdo","Mexico","2575626","2522407","0.0211"
"194","Tashkent","Uzbekistan","2573758","2545159","0.0112"
"195","Brazzaville","Republic of the Congo","2552813","2469630","0.0337"
"196","Luoyang","China","2534195","2461883","0.0294"
"197","Patna","India","2529210","2481530","0.0192"
"198","Bhopal","India","2505183","2446882","0.0238"
"199","Damascus","Syria","2502761","2439814","0.0258"
"200","Mogadishu","Somalia","2497463","2387920","0.0459"
"201","Brisbane","Australia","2472222","2439467","0.0134"
"202","Tangerang","Indonesia","2456106","2397447","0.0245"
"203","San Juan","Puerto Rico","2442512","2445462","-0.0012"
"204","Tunis","Tunisia","2439404","2402680","0.0153"
"205","Beirut","Lebanon","2433155","2434609","-0.0006"
"206","Nantong","China","2423725","2351145","0.0309"
"207","Medan","Indonesia","2402041","2368348","0.0142"
"208","Baku","Azerbaijan","2401108","2370776","0.0128"
"209","Belem","Brazil","2385490","2360474","0.0106"
"210","Gujranwala","Pakistan","2352547","2290461","0.0271"
"211","Houston","United States","2345606","2325093","0.00882"
"212","Peshawar","Pakistan","2342514","2272812","0.0307"
"213","Manaus","Brazil","2340784","2302374","0.0167"
"214","Sendai","Japan","2339991","2334959","0.0022"
"215","Maracaibo","Venezuela","2332718","2296118","0.0159"
"216","Rawalpindi","Pakistan","2327455","2280733","0.0205"
"217","Barranquilla","Colombia","2324690","2299186","0.0111"
"218","Agra","India","2313971","2261561","0.0232"
"219","Hohhot","China","2312208","2239344","0.0325"
"220","Taoyuan","Taiwan","2296368","2271507","0.0109"
"221","Baotou","China","2287174","2238823","0.0216"
"222","Kannur","India","2286474","2226693","0.0268"
"223","Liuzhou","China","2286224","2226508","0.0268"
"224","Visakhapatnam","India","2277870","2225906","0.0233"
"225","Vadodara","India","2277153","2232521","0.0200"
"226","Xuzhou","China","2240503","2193219","0.0216"
"227","Tijuana","Mexico","2221008","2181104","0.0183"
"228","Esfahan","Iran","2219343","2176927","0.0195"
"229","Phnom Penh","Cambodia","2211444","2143591","0.0317"
"230","Amman","Jordan","2209584","2182151","0.0126"
"231","Daegu","South Korea","2184528","2190571","-0.0028"
"232","Naples","Italy","2180348","2182885","-0.0012"
"233","Nashik","India","2180269","2123018","0.0270"
"234","Vijayawada","India","2167516","2104113","0.0301"
"235","Havana","Cuba","2145691","2142866","0.0013"
"236","Grande Vitoria","Brazil","2141511","2109869","0.0150"
"237","Mecca","Saudi Arabia","2114675","2078766","0.0173"
"238","Brussels","Belgium","2109631","2095688","0.0067"
"239","Multan","Pakistan","2105987","2059534","0.0226"
"240","Aleppo","Syria","2098210","2003671","0.0472"
"241","Putian","China","2093166","2002884","0.0451"
"242","Perth","Australia","2092649","2067333","0.0122"
"243","Yangzhou","China","2085864","2039472","0.0227"
"244","Hiroshima","Japan","2072344","2077569","-0.0025"
"245","Baoding","China","2064081","2019960","0.0218"
"246","Bursa","Turkey","2054748","2021116","0.0166"
"247","Taizhou Zhejiang","China","2048701","1992626","0.0281"
"248","Minsk","Belarus","2048574","2038822","0.0048"
"249","Conakry","Guinea","2048525","1991134","0.0288"
"250","Wuhu Anhui","China","2046187","1960681","0.0436"
